CO2eq Scenario,km2 per yr,prodtion required (ww tonnes),Carbon capture
Median Fish & Crust neutrality,272.7,3967461,average
Median Fish & Crust neutrality,169.1,2459826,high
Mean Fish & Crust neutrality,473.9,6893987,average
Mean Fish & Crust neutrality,293.8,4274272,high
