Land Area,Ocean Area,Environment,Species,Scientific name,1950,S_1950,1951,S_1951,1952,S_1952,1953,S_1953,1954,S_1954,1955,S_1955,1956,S_1956,1957,S_1957,1958,S_1958,1959,S_1959,1960,S_1960,1961,S_1961,1962,S_1962,1963,S_1963,1964,S_1964,1965,S_1965,1966,S_1966,1967,S_1967,1968,S_1968,1969,S_1969,1970,S_1970,1971,S_1971,1972,S_1972,1973,S_1973,1974,S_1974,1975,S_1975,1976,S_1976,1977,S_1977,1978,S_1978,1979,S_1979,1980,S_1980,1981,S_1981,1982,S_1982,1983,S_1983,1984,S_1984,1985,S_1985,1986,S_1986,1987,S_1987,1988,S_1988,1989,S_1989,1990,S_1990,1991,S_1991,1992,S_1992,1993,S_1993,1994,S_1994,1995,S_1995,1996,S_1996,1997,S_1997,1998,S_1998,1999,S_1999,2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Peru,"Pacific, Southeast",Marine,..A,Chondracanthus chamissoi,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,130.65,.,44,.,2,.,0,.,0,.
Saint Lucia,"Atlantic, Western Central",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,136,.,0,.,28,.,16,.,20,F,5,.,14,.,5.2,.,10,.,6.8,.,12.1,.,15.4,.,10.9,.,14.9,.,26,.,20.6,.,2.3,.,5.3,.
Saint Lucia,"Atlantic, Western Central",Marine,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,100,F,100,F,100,F,35,.,40,F,40,F,40,F,20,F,7,.,10,F,10,F,10,F,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4.5,.,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,.,0,.
Uruguay,"America, South - Inland waters",Freshwater,..A,Spirulina platensis,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1.33,.,0,.,3.52,.,3.14,.
"Venezuela, Boliv Rep of","Atlantic, Western Central",Marine,Elkhorn sea moss,Kappaphycus alvarezii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,101,.,0,.,5,.,54,.,15,.,40,.,32,F,36,F,160,.,160,.,95,.,25,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
"Venezuela, Boliv Rep of","Atlantic, Western Central",Marine,Spiny eucheuma,Eucheuma denticulatum,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,160,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Cambodia,"Pacific, Western Central",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3500,.,3650,.,7800,.,16840,.,18000,.,6810,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
China,Asia - Inland waters,Freshwater,Spirulina nei,Spirulina spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,16483,F,35889,F,48479,F,55870,.,66920,.,62320,.,70890,.,96910,.,72820,.,80050,.,81890,.,85530,.,89250,.,88410,.
China,Asia - Inland waters,Freshwater,..A,Haematococcus pluvialis,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,100,F,100,F,100,F,150,F,150,F,200,F,200,F,200,F,200,F,200,F,200,F
China,"Pacific, Northwest",Marine,Bright green nori,Enteromorpha clathrata,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2434,F,2870,F,5546,F,10160,.,10550,.,12540,.,10600,.,11150,.,9100,.,8900,.,4390,.,1000,.,1000,.,3710,.
China,"Pacific, Northwest",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,64013,F,85588,F,93192,F,84080,.,86840,.,67240,.,65900,.,64260,.,61800,.,95880,.,92560,.,42860,.,50050,.,51140,.
China,"Pacific, Northwest",Marine,Fusiform sargassum,Sargassum fusiforme,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,75936,F,115214,F,85573,F,114230,.,136260,.,87480,.,79490,.,78210,.,111310,.,112260,.,151520,.,175430,.,189050,.,189910,.
China,"Pacific, Northwest",Marine,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,442416,F,777723,F,862142,F,888840,.,994510,.,1144460,.,1253520,.,1147220,.,1513590,.,1967780,.,2461120,.,2622320,.,2701490,.,2931790,.
China,"Pacific, Northwest",Marine,Japanese isinglass,Gelidium amansii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,867,F,1006,F,875,F,3000,.,1000,.,1200,.,1200,.,1200,.,0,.,4120,.,0,.,0,.,0,.,0,.
China,"Pacific, Northwest",Marine,Japanese kelp,Laminaria japonica,0,0,0,0,328,.,688,.,1529,.,3167,.,3356,.,12981,.,37521,.,145680,.,250000,.,250000,.,250000,.,300000,.,400000,.,400000,.,500000,.,500000,.,500000,.,600000,.,529800,.,669800,.,793700,.,668700,.,723535,.,799705,.,752130,.,1111055,.,1257060,.,1200685,.,1264535,.,1097590,.,1094790,.,1156480,.,1253305,.,1269195,.,1017185,.,894500,.,1082075,.,1364565,.,1221530,.,1783300,.,2470645,.,3009135,.,3169505,.,3222230,.,3719230,.,3685936,F,3591825,F,3982646,F,3663403,F,3503586,F,3687744,F,3583939,F,3504761,F,3773631,F,3809960,.,3877355,.,3988755,.,4139825,.,4418010,.,4541105,.,4895030,.,5088685,.,6805175,.,7056445,.,7305290,.
China,"Pacific, Northwest",Marine,Nori nei,Porphyra spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,35000,.,35100,.,40700,.,37830,.,44660,.,53950,.,91910,.,84270,.,66300,.,72120,.,70290,.,68150,.,99870,.,100700,.,91970,.,84830,.,93170,.,92210,.,92550,.,52940,.,116480,.,158990,.,193230,.,290000,.,306150,.,303680,.,300130,F,330137,F,366184,F,424913,F,512970,F,587750,F,636914,F,708863,F,703093,F,822100,.,904170,.,814660,.,1074750,.,1072350,.,1027450,.,1123290,.,1139000,.,1141710,.,1158750,.,1352520,.
China,"Pacific, Northwest",Marine,Seaweeds nei,Algae,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,4427,.,6463,.,7293,.,6990,.,6842,.,11199,.,36090,.,67500,.,183890,.,157930,.,190670,.,115120,.,195760,.,286210,.,429370,.,603330,.,671620,.,634240,.,471015,.,432697,F,1763671,F,2108633,F,2849779,F,3150615,F,3445035,F,2212753,F,2218128,F,1826939,F,2309570,.,2265050,.,2434920,.,2475410,.,3111480,.,2870430,.,2793340,.,2840970,.,421100,.,753280,.,1027250,.
China,"Pacific, Northwest",Marine,Wakame,Undaria pinnatifida,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1511135,F,1921466,F,2094759,F,1646300,.,1402270,.,1320210,.,1324170,.,1091330,.,1341750,.,1751210,.,1701110,.,2030990,.,1925020,.,1525720,.
India,Asia - Inland waters,Freshwater,Aquatic plants nei,Plantae aquaticae,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,4668,.,4668,.,2,.,2,.,2,.,2,.,2,.,2,.,2,.,2,F,2,F,2,F,2,F
India,"Indian Ocean, Eastern",Marine,Elkhorn sea moss,Kappaphycus alvarezii,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,168,.,656,.,1176,.,1008,.,1080,.,1952,.,2520,.,4704,.,6920,.,4240,.,4500,F,4500,F,4500,F,3000,F,3000,F,3000,F
Indonesia,"Pacific, Western Central",Brackishwater,Gracilaria seaweeds,Gracilaria spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,8000,F,10000,F,10000,F,10000,F,12606,.,44253,.,120000,F,242821,.,207470,.,171868,.,515581,.,630788,.,776166,.,975211,.,1105528.6,.,1157234,.,1194000,F
Indonesia,"Pacific, Western Central",Marine,Eucheuma seaweeds nei,Eucheuma spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,197227,F,202473,F,213080,F,221900,F,397964,.,866383,.,1050000,F,1485654,.,1937591,.,2791688,.,3399436,.,4539413,.,5738688,.,8323263,.,8971463,.,10112107,.,10437000,F
Indonesia,"Pacific, Western Central",Marine,Red seaweeds,Rhodophyceae,10,F,20,F,20,F,30,F,40,F,50,F,60,F,80,F,100,F,120,F,160,F,200,F,260,F,330,F,420,F,540,F,690,F,880,F,1130,F,1440,F,1839,F,3248,.,3049,.,3156,.,3008,.,8426,.,21811,F,27192,F,32480,F,37674,F,42774,F,47780,F,52693,F,57512,F,60000,F,58217,.,77462,.,80000,F,85000,F,80000,F,100000,F,90000,F,95000,F,110000,F,102000,.,102000,.,148000,.,115000,.,117210,.,133720,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Japan,Asia - Inland waters,Freshwater,Green seaweeds,Chlorophyceae,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,742,.,575,.,645,.,833,.,863,.,368,.,327,.,335,.,333,.,376,.,201,.,374,.,376,.,305,.,248,.,230,.,307,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,.,0,.
Japan,"Pacific, Northwest",Marine,Japanese kelp,Laminaria japonica,4717,.,3000,F,2000,F,2000,F,2000,F,2000,F,2200,F,1000,F,1000,F,1500,F,1000,F,800,F,1500,F,600,F,600,F,600,F,800,F,700,F,500,F,500,F,284,.,665,.,3340,.,7681,.,10201,.,15759,.,22087,.,27249,.,21890,.,25291,.,38562,.,44221,.,42980,.,44345,.,62756,.,53593,.,54143,.,49582,.,59696,.,64383,.,54297,.,42619,.,72924,.,59966,.,57757,.,55056,.,61121,.,60103,.,50123,.,48251,.,53846,.,63200,.,51128,.,50978,.,47256,.,44489,.,41339,.,41356,.,46937,.,40397,.,43251,.,25095,.,34147,.,35410,.,32897,.,38671,.,27068,.
Japan,"Pacific, Northwest",Marine,Laver (Nori),Porphyra tenera,21000,.,24500,.,42000,.,37755,.,42975,.,56190,.,65602,.,100275,.,62515,.,75209,.,100457,.,147379,.,154631,.,144531,.,111851,.,140753,.,128440,.,157550,.,144969,.,134320,.,231464,.,244946,.,217906,.,311410,.,339314,.,278127,.,291050,.,279031,.,350471,.,325686,.,357672,.,340510,.,263312,.,360694,.,396530,.,351788,.,403112,.,321238,.,442806,.,403290,.,387245,.,403363,.,382805,.,362955,.,483196,.,407005,.,372700,.,392622,.,396615,.,409850,.,391681,.,373121,.,436031,.,347354,.,358929,.,386574,.,367678,.,395777,.,338523,.,342620,.,328700,.,292345,.,341580,.,316228,.,276129,.,297370,.,300683,.
Japan,"Pacific, Northwest",Marine,Seaweeds nei,Algae,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,64,.,194,.,1161,.,2904,.,5329,.,1888,.,2326,.,3894,.,4880,.,5606,.,7494,.,5333,.,9422,.,10544,.,10380,.,10326,.,13533,.,10000,.,7483,.,7486,.,10245,.,6019,.,20642,.,16371,.,18150,.,16980,.,19503,.,15968,.,13597,.,21953,.,22582,.,15968,.,12194,.,8452,.,13546,.,16684,.,16113,.,20166,.,15188,.,15785,.
Japan,"Pacific, Northwest",Marine,Wakame,Undaria pinnatifida,6603,.,6000,F,6000,F,6000,F,6500,F,6500,F,6500,F,7000,F,8000,F,8000,F,9500,F,9000,F,9500,F,10000,F,11000,F,12537,.,37809,.,58080,.,76698,.,59821,.,76358,.,95155,.,105795,.,113211,.,153762,.,101937,.,126723,.,125833,.,102682,.,103791,.,113532,.,91282,.,118340,.,112835,.,114586,.,112375,.,135621,.,115918,.,110539,.,108451,.,112974,.,99092,.,112302,.,89581,.,88280,.,99571,.,78368,.,70052,.,70669,.,77064,.,66676,.,56977,.,53813,.,59870,.,62236,.,63082,.,59092,.,54249,.,54909,.,61215,.,52393,.,18751,.,48343,.,50614,.,44716,.,48951,.,47672,.
"Korea, Dem. People's Rep","Pacific, Northwest",Marine,Gelidium seaweeds,Gelidium spp,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1000,F,1000,F,1000,F,1000,F,1000,F,1000,.,1000,.,1000,.,1000,.,1000,F,1000,F,1000,F,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
"Korea, Dem. People's Rep","Pacific, Northwest",Marine,Gracilaria seaweeds,Gracilaria spp,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,25,F,49,F,93,F,138,F,183,F,228,F,280,F,320,F,350,F,400,F,460,F,500,F,600,F,700,F,800,F,900,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,F,1000,.,1000,.,1000,.,1000,.,1000,F,1000,F,1000,F,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
"Korea, Dem. People's Rep","Pacific, Northwest",Marine,Japanese kelp,Laminaria japonica,621,F,756,F,920,F,1119,F,1362,F,1658,F,2018,F,2456,F,2989,F,3637,F,4426,F,5387,F,6556,F,7979,F,9710,F,11818,F,14382,F,17503,F,21302,F,25924,F,31550,F,38397,F,46730,F,56871,F,69213,F,84233,F,102512,F,124759,F,151834,F,184783,F,224884,F,273687,F,333081,F,405364,F,500000,F,600000,F,700000,F,914000,F,919000,F,1024000,F,750000,F,800000,F,943000,.,973000,F,667349,.,604371,.,635579,.,375577,.,370000,F,370000,F,360000,F,444295,.,444295,.,444295,F,444295,F,444295,F,444300,F,444300,F,444300,F,444300,F,444300,F,444300,F,444300,F,444300,F,489000,F,489000,F,489000,F
"Korea, Dem. People's Rep","Pacific, Northwest",Marine,Laver (Nori),Porphyra tenera,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,735,F,3777,F,6569,F,9110,F,11401,F,13442,F,15232,F,16772,F,18062,F,20000,F,20000,F,20000,F,20000,F,20000,F,22000,F,18000,F,18000,F,20000,F,20000,F,15000,.,13000,.,14000,.,8137,.,8000,F,8000,F,7000,F,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
"Korea, Dem. People's Rep","Pacific, Northwest",Marine,Wakame,Undaria pinnatifida,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,150,F,500,F,1000,F,2000,F,5574,F,17158,F,28007,F,38120,F,47498,F,56141,F,64048,F,71220,F,77656,F,83357,F,88322,F,92552,F,96047,F,98806,F,100830,F,102119,F,102672,F,150000,F,100000,F,100000,F,100000,F,100000,F,100000,F,75000,F,75000,F,75000,F,75000,F,55000,.,45000,.,50000,.,33433,.,33000,F,33000,F,32000,F,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
"Korea, Republic of",Asia - Inland waters,Freshwater,Aquatic plants nei,Plantae aquaticae,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,65,.,93,.,79,.,110,.,58,.,74,.,115,.,70,.,72,.,96,.,20,.,266,.,22,.,13,.,23,.,11,.,13,.,12,.,7,.,10,.,6,.,0,0,0,0,0,0,0,0,3,.,7,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
"Korea, Republic of","Pacific, Northwest",Marine,Brown seaweeds,Phaeophyceae,0,-,0,-,0,-,5,F,7,F,8,F,10,F,13,F,16,F,21,F,26,F,32,F,40,F,51,F,63,F,64,F,74,F,74,F,78,F,97,F,122,F,153,F,191,F,240,F,300,F,376,F,468,F,581,F,738,F,925,F,1225,.,1497,.,1434,.,2633,.,4325,.,8497,.,13289,.,11572,.,23871,.,20168,.,23920,.,11408,.,18163,.,27621,.,31669,.,37679,.,23054,.,34475,.,25220,.,22940,.,12091,.,6873,.,11016,.,33661,.,22814,.,30058,.,21125,.,20909,.,17701,.,19533,.,21133,.,25880,.,14378,.,13335,.,16563,.,28243,.,32762,.
"Korea, Republic of","Pacific, Northwest",Marine,Fragile codium,Codium fragile,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1597,.,165,.,158,.,1186,.,1796,.,1394,.,1005,.,855,.,2045,.,5550,.,3895,.,4279,.
"Korea, Republic of","Pacific, Northwest",Marine,Green laver,Monostroma nitidum,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,600,F,752,F,935,F,1163,F,1477,F,1849,F,2450,.,2994,.,4285,.,5265,.,4734,.,10658,.,11040,.,7588,.,8670,.,10116,.,12463,.,14367,.,17248,.,12053,.,6918,.,4344,.,8277,.,7794,.,5298,.,5873,.,5288,.,5760,.,9291,.,1355,.,11514,.,814,.,682,.,684,.,8003,.,5903,.,4531,.,6085,.,6002,.,5034,.,6055,.,6748,.,7158,.
"Korea, Republic of","Pacific, Northwest",Marine,Japanese kelp,Laminaria japonica,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2334,.,2758,.,8342,.,2122,.,5516,.,5192,.,940,.,1963,.,3987,.,11606,.,7927,.,11796,.,9445,.,9980,.,11612,.,2617,.,8084,.,8938,.,9560,.,17180,.,30421,.,27295,.,35640,.,33466,.,7931,.,25447,.,14160,.,17506,.,24873,.,25259,.,22510,.,108327,.,201919,.,250049,.,285221,.,306183,.,241322,.,246701,.,308601,.,373263,.,372311,.,442637,.,397852,.
"Korea, Republic of","Pacific, Northwest",Marine,Laver (Nori),Porphyra tenera,0,0,2,F,10,F,24,F,82,F,194,F,395,F,723,F,1225,F,1958,F,2210,F,3012,F,5973,F,8530,F,9107,F,6258,F,6207,F,8172,F,14050,F,16203,.,35782,.,34801,.,23042,.,34763,.,54440,.,44672,.,44234,.,57718,.,28748,.,43787,.,56274,.,80490,.,79784,.,87963,.,136484,.,109819,.,143396,.,83287,.,115749,.,140088,.,97637,.,143845,.,163555,.,235272,.,269581,.,192960,.,166199,.,140236,.,190979,.,205706,.,130488,.,167909,.,209995,.,193553,.,228554,.,197610,.,217559,.,210956,.,224242,.,211444,.,235534,.,316428,.,349827,.,405526,.,397841,.,389077,.,409724,.
"Korea, Republic of","Pacific, Northwest",Marine,Seaweeds nei,Algae,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,F,1,F,1,F,756,.,1918,.,972,.,299,.,265,.,1360,.,2056,.,2367,.,2256,.,3373,.,1225,.,1497,.,1430,.,2633,.,3,.,255,.,550,.,588,.,10,.,224,.,432,.,2,.,5,.,10,.,6,.,2,.,12,.,0,-,0,-,0,-,0,-,0,-,247,.,54,.,142,.,877,.,1774,.,1100,.,3595,.,4645,.,4142,.,2181,.,2739,.,4727,.,5021,.,3777,.,3193,.
